Cycle,RecipID,TotalGiftAmt,TotalGiftAvg,TotalGiftCount,TotalGiftAvg,DonorCount,MultiCycleDonorCount,RepeatDonorCount,MaleDonorCount,FemaleDonorCount,CycleCands,FECCandID,CID,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,curr_cand,incumbent,challenger,open_office,nopacs,republican,democrat,other_party,cand_party,cand_status,run_for_state,run_for_district,presidential_year,label
2010,N00002492,802293,959.6806220095693,1154,1.3803827751196172,836,0,234,627,200,2010,H2SC05052,N00002492,John M Spratt Jr (D),D,SC05,SC05,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,SC,05,0,0
2010,N00002544,45536,785.1034482758621,73,1.2586206896551724,58,1,11,38,17,2010,H0SC04232,N00002544,Christina Jeffrey (R),R,SC04,    , ,Y,C,RL, ,0,0,1,0,0,1,0,0,Republican,Lose,SC,04,0,0
2010,N00002574,3250,464.2857142857143,7,1.0,7,0,0,6,0,2010,H0GA09121,N00002574,Bert Loftman (R),R,GA09,    , ,Y,C,RL, ,0,0,1,0,0,1,0,0,Republican,Lose,GA,09,0,0
2010,N00002577,307500,907.0796460176991,386,1.1386430678466077,339,84,97,219,88,2010,H6GA05217,N00002577,John Lewis (D),D,GA05,GA05,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,GA,05,0,1
2010,N00002593,3308463,929.6046642315257,4423,1.2427648215790952,3559,1024,1324,2756,763,2010,S6GA00119,N00002593,Johnny Isakson (R),R,GAS2,GAS2,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,GA,S2,0,1
2010,N00002599,23050,470.40816326530614,55,1.1224489795918366,49,0,4,40,5,2010,H0GA04023,N00002599,John Linder (R),R,GA07,GA07, ,Y,I,RI, ,0,1,0,0,0,1,0,0,Republican,Incumbent,GA,07,0,0
2010,N00002656,364869,923.7189873417722,482,1.220253164556962,395,213,227,300,78,2010,H2GA01157,N00002656,Jack Kingston (R),R,GA01,GA01,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,GA,01,0,1
2010,N00002674,583274,1076.1512915129151,697,1.2859778597785978,542,179,219,377,108,2010,H2GA02031,N00002674,Sanford D Bishop Jr (D),D,GA02,GA02,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,GA,02,0,1
2010,N00002713,681417,1341.3720472440946,665,1.3090551181102361,508,94,170,362,104,2010,H2FL03056,N00002713,Corrine Brown (D),D,FL03,FL03,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,FL,03,0,1
2010,N00002743,808112,900.9052396878484,1162,1.2954292084726868,897,0,204,665,172,2010,H6FL00046,N00002743,Allen Boyd (D),D,FL02,FL02,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,FL,02,0,0
2010,N00002782,165331,661.324,300,1.2,250,60,82,191,42,2010,H8FL06056,N00002782,Cliff Stearns (R),R,FL06,FL06,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,FL,06,0,1
2010,N00002793,353152,720.7183673469387,606,1.236734693877551,490,186,217,396,83,2010,H2FL08055,N00002793,John L Mica (R),R,FL07,FL07,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,FL,07,0,1
