,Cycle,RecipID,TotalGiftAmt,TotalGiftAvg,TotalGiftCount,TotalGiftAvg.1,DonorCount,MultiCycleDonorCount,RepeatDonorCount,MaleDonorCount,FemaleDonorCount,CycleCands_x,FECCandID,CID_x,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,curr_cand,incumbent,challenger,open_office,nopacs,republican,democrat,other_party,cand_party,cand_status,run_for_state,run_for_district,presidential_year,label,CID_y,CycleCands_y,AmountRank,AmountRankSimple,10M_amt,1M_to_10M_amt,100K_to_1M_amt,10K_to_100K_amt,1K_to_10K_amt,100_to_1K_amt,10_to_100_amt,1_to_10_amt,0_to_1_amt,senate_seat,presidential_seat,house_seat
17,2010,N00000575,1115433,796.7378571428571,1833,1.3092857142857144,1400,501,597,1057,261,2010,H8CT01046,N00000575,John B Larson (D),D,CT01,CT01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,CT,01,0,1,N00000575,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
18,2010,N00000581,2671600,1069.9239086904286,3974,1.5915098117741289,2497,1,711,1801,522,2010,S0CT00037,N00000581,Chris Dodd (D),D,CTS2,CTS2, ,Y,I,DI, ,0,1,0,0,0,0,1,0,Democrat,Incumbent,CT,S2,0,0,N00000581,2010,0.0503069484598948,3.0,0,1,0,0,0,0,0,0,0,1,0,0
19,2010,N00000615,517811,1050.3265720081135,759,1.539553752535497,493,257,295,307,181,2010,H0CT03072,N00000615,Rosa L DeLauro (D),D,CT03,CT03,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,CT,03,0,1,N00000615,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
20,2010,N00000634,79194,1319.9,70,1.1666666666666667,60,1,9,47,12,2010,H0CT03106,N00000634,Jerry Labriola (R),R,CT03,    ,Y,Y,C,RL, ,1,0,1,0,0,1,0,0,Republican,Lose,CT,03,0,0,N00000634,2010,0.1529399723064979,3.0,0,0,0,1,0,0,0,0,0,0,0,1
21,2010,N00000684,512575,1074.58071278826,796,1.6687631027253669,477,295,334,342,110,2010,H2NJ05014,N00000684,Rodney Frelinghuysen (R),R,NJ11,NJ11,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,11,0,1,N00000684,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
22,2010,N00000716,254319,756.9017857142857,428,1.2738095238095235,336,70,110,207,73,2010,H0NJ10026,N00000716,Donald M Payne (D),D,NJ10,NJ10,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,10,0,1,N00000716,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
23,2010,N00000743,829288,1168.0112676056335,975,1.3732394366197185,710,311,360,567,116,2010,H8NJ05052,N00000743,Scott Garrett (R),R,NJ05,NJ05,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,05,0,1,N00000743,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
24,2010,N00000751,714301,1182.617549668874,1098,1.8178807947019868,604,366,410,457,78,2010,H6NJ08118,N00000751,Bill Pascrell Jr (D),D,NJ08,NJ08,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,08,0,1,N00000751,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
25,2010,N00000781,986584,1056.2997858672377,1334,1.4282655246252676,934,371,444,592,193,2010,H8NJ03073,N00000781,Frank Pallone Jr (D),D,NJ06,NJ06,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,06,0,1,N00000781,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
26,2010,N00000812,1682952,1100.6880313930674,2461,1.6095487246566382,1529,0,556,1162,254,2010,H8NJ03156,N00000812,John H Adler (D),D,NJ03,NJ03,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,NJ,03,0,0,N00000812,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
27,2010,N00000826,813995,825.552738336714,1167,1.1835699797160244,986,347,414,720,168,2010,H0NJ01066,N00000826,Robert E Andrews (D),D,NJ01,NJ01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,01,0,1,N00000826,2010,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1
28,2010,N00000826,813995,825.552738336714,1167,1.1835699797160244,986,347,414,720,168,2010,S8NJ00392,N00000826,Robert E Andrews (D),D,NJ01,NJ01, ,Y,I,DW, ,0,1,0,0,0,0,1,0,Democrat,Win,NJ,01,0,1,N00000826,2010,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,1
29,2010,N00000851,527502,821.6542056074767,840,1.308411214953271,642,267,312,481,111,2010,H2NJ02037,N00000851,Frank A LoBiondo (R),R,NJ02,NJ02,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,02,0,1,N00000851,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
30,2010,N00000860,1525259,1057.738557558946,2346,1.6269070735090152,1442,785,888,781,524,2010,H6NJ12144,N00000860,Rush Holt (D),D,NJ12,NJ12,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NJ,12,0,1,N00000860,2010,0.9707753937178266,2.0,0,1,0,0,0,0,0,0,0,0,0,1
31,2010,N00000898,565704,1017.453237410072,778,1.3992805755395683,556,250,286,414,115,2010,H6NJ12136,N00000898,Leonard Lance (R),R,NJ07,NJ07,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NJ,07,0,1,N00000898,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
32,2010,N00000939,821724,1429.0852173913042,776,1.3495652173913044,575,276,325,417,113,2010,H2NY17071,N00000939,Jerrold Nadler (D),D,NY08,NY08,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,08,0,1,N00000939,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
33,2010,N00000962,124660,909.92700729927,175,1.2773722627737227,137,33,45,92,24,2010,H4NY15071,N00000962,Adam Clayton Powell IV (D),D,NY15,    , ,Y,C,DL, ,0,0,1,0,0,0,1,0,Democrat,Lose,NY,15,0,0,N00000962,2010,0.0726262613904555,3.0,0,0,1,0,0,0,0,0,0,0,0,1
34,2010,N00000964,1716459,1452.1649746192893,1729,1.4627749576988156,1182,389,534,805,285,2010,H6NY19029,N00000964,Charles B Rangel (D),D,NY15,NY15,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,15,0,1,N00000964,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
35,2010,N00001003,539550,1119.3983402489628,540,1.120331950207469,482,208,230,315,103,2010,H8NY19058,N00001003,Eliot L Engel (D),D,NY17,NY17,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,17,0,1,N00001003,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
36,2010,N00001024,1648141,1420.8112068965518,1609,1.3870689655172417,1160,579,656,667,437,2010,H8NY20056,N00001024,Nita M Lowey (D),D,NY18,NY18,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,18,0,1,N00001024,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
37,2010,N00001025,1607236,2238.490250696379,892,1.242339832869081,718,0,126,435,91,2010,S0NY00287,N00001025,Joseph J Dioguardi (R),R,NYS1,    ,Y,Y,C,RL, ,1,0,1,0,0,1,0,0,Republican,Lose,NY,S1,0,0,N00001025,2010,0.1601633326460707,3.0,0,1,0,0,0,0,0,0,0,1,0,0
38,2010,N00001061,1000,500.0,4,2.0,2,0,2,2,0,2010,H8NY03045,N00001061,Robert Previdi (R),R,NY03,    , ,Y,C,RL, ,0,0,1,0,0,1,0,0,Republican,Lose,NY,03,0,0,N00001061,2010,0.0012233732805488,3.0,0,0,0,0,1,0,0,0,0,0,0,1
39,2010,N00001082,704910,1005.5777460770328,898,1.2810271041369472,701,108,196,426,150,2010,H2NY11017,N00001082,Edolphus Towns (D),D,NY10,NY10,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,10,0,1,N00001082,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
40,2010,N00001093,13377007,2042.602992823332,8719,1.3313482974499924,6549,1533,2767,4801,1357,2010,S8NY00082,N00001093,Charles E Schumer (D),D,NYS2,NYS2,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,S2,0,1,N00001093,2010,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0
41,2010,N00001102,244155,1298.6968085106382,255,1.3563829787234043,188,60,93,119,51,2010,H2NY00010,N00001102,Nydia Velazquez (D),D,NY12,NY12,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,12,0,1,N00001102,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
42,2010,N00001110,1099640,2006.6423357664237,817,1.4908759124087592,548,36,238,386,99,2010,H8NY09091,N00001110,Anthony D Weiner (D),D,NY09,NY09,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,09,0,1,N00001110,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
43,2010,N00001127,585010,1140.3703703703704,641,1.249512670565302,513,240,270,376,94,2010,H8NY07046,N00001127,Joseph Crowley (D),D,NY07,NY07,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,07,0,1,N00001127,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
44,2010,N00001143,716897,1876.693717277487,561,1.468586387434555,382,85,157,235,62,2010,H4NY07011,N00001143,Gary Ackerman (D),D,NY05,NY05,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,05,0,1,N00001143,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
45,2010,N00001148,397000,735.1851851851852,776,1.4370370370370371,540,189,246,314,201,2010,H6NY04112,N00001148,Carolyn McCarthy (D),D,NY04,NY04,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,04,0,1,N00001148,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
46,2010,N00001157,7958,884.2222222222222,45,5.0,9,1,2,5,3,2010,H8NY04050,N00001157,Patricia M Maher (D),D,NY05,    , ,Y,C,DL, ,0,0,1,0,0,0,1,0,Democrat,Lose,NY,05,0,0,N00001157,2010,0.0111006183594016,3.0,0,0,0,0,1,0,0,0,0,0,0,1
47,2010,N00001171,262925,1077.561475409836,266,1.0901639344262295,244,52,66,172,44,2010,H8NY06048,N00001171,Gregory W Meeks (D),D,NY06,NY06,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,06,0,1,N00001171,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
48,2010,N00001193,817412,990.8024242424242,1154,1.3987878787878787,825,323,400,695,126,2010,H2NY03089,N00001193,Pete King (R),R,NY03,NY03,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,NY,03,0,1,N00001193,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
49,2010,N00001222,465289,961.3409090909092,746,1.5413223140495869,484,56,190,284,166,2010,H2NY26080,N00001222,Maurice Hinchey (D),D,NY22,NY22,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,22,0,1,N00001222,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
50,2010,N00001311,175919,796.0135746606335,257,1.16289592760181,221,118,125,135,76,2010,H6NY03031,N00001311,Louise M Slaughter (D),D,NY28,NY28,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,28,0,1,N00001311,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
51,2010,N00001373,214593,945.3436123348016,289,1.2731277533039649,227,101,113,174,37,2010,H4PA18131,N00001373,Mike Doyle (D),D,PA14,PA14,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,PA,14,0,1,N00001373,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0
