,CycleCands,FECCandID,CID,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,CycleIndivs,RecipID,Amount,Female,Male,incumbent,label,AmountRank,AmountRankSimple
0,2012,S0CA00199,N00007364,Dianne Feinstein (D),D,CAS2,CAS2,Y,Y,I,DW, ,2012.0,N00007364,4394349.0,1469.0,2289.0,1,1,1.0,1
1,2012,S0CT00151,N00031165,Linda McMahon (R),R,CTS1,    ,Y,Y,O,RL, ,2012.0,N00031165,40295112.0,354.0,735.0,0,0,1.0,1
2,2012,S0IN00186,N00032819,Jack Rooney (I),I,INS1,    ,Y,Y,O,3L, ,2012.0,N00032819,6000.0,0.0,1.0,0,0,0.0010202997130407058,3
3,2012,S0MA00109,N00031174,Scott Brown (R),R,MAS1,MAS1,Y,Y,I,RL, ,2012.0,N00031174,19013674.0,5778.0,19458.0,1,0,0.8455821510886512,3
4,2012,S0NY00410,N00027658,Kirsten Gillibrand (D),D,NYS1,NYS1,Y,Y,I,DW, ,2012.0,N00027658,11391700.0,4052.0,5693.0,1,1,1.0,1
5,2012,S0UT00066,N00013177,Scott N Howell (D),D,UTS1,    ,Y,Y,C,DL, ,2012.0,N00013177,215439.0,81.0,141.0,0,0,0.04405198338105449,3
6,2012,S0WV00090,N00032838,Joe Manchin (D),D,WVS1,WVS1,Y,Y,I,DW, ,2012.0,N00032838,2799179.0,501.0,1836.0,1,1,1.0,1
7,2012,S2AZ00141,N00009573,Jeff Flake (R),R,AZS2,AZ06,Y,Y,O,RW, ,2012.0,N00009573,7265721.0,1480.0,6017.0,0,1,1.0,1
8,2012,S2AZ00232,N00033859,Richard Carmona (D),D,AZS2,    ,Y,Y,O,DL, ,2012.0,N00033859,4579436.0,1787.0,3518.0,0,0,0.6302796377675388,3
9,2012,S2AZ00299,N00034985,Marc J Victor (L),L,AZS2,    ,Y,Y,O,3L, ,2012.0,N00034985,2800.0,1.0,8.0,0,0,0.00038537125221296,3
10,2012,S2AZ00307,N00035172,Steven Watts (I),I,AZS2,    ,Y,Y,O,3L, ,2012.0,N00035172,3000.0,0.0,1.0,0,0,0.00041289777022817146,3
11,2012,S2CA00641,N00031194,Elizabeth Emken (R),R,CAS2,    ,Y,Y,C,RL, ,2012.0,N00031194,339232.0,159.0,391.0,0,0,0.07719732774979866,3
12,2012,S2CT00132,N00027566,Christopher S Murphy (D),D,CTS1,CT05,Y,Y,O,DW, ,2012.0,N00027566,7107910.0,2737.0,5616.0,0,1,0.17639633313340833,3
13,2012,S2DE00064,N00031883,Kevin Wade (R),R,DES1,    ,Y,Y,C,RL, ,2012.0,N00031883,112460.0,33.0,85.0,0,0,0.0852618849957733,3
14,2012,S2DE00080,N00034851,Alexander Pires (I),I,DES1,    ,Y,Y,C,3L, ,2012.0,N00034851,170140.0,30.0,79.0,0,0,0.12899214932581246,3
15,2012,S2FL00326,N00033863,Chris Borgia (3),3,FLS1,    ,Y,Y,C,3L, ,2012.0,N00033863,500.0,1.0,0.0,0,0,5.342653770925171e-05,3
16,2012,S2FL00334,N00026425,Connie Mack (R),R,FLS1,FL14,Y,Y,C,RL, ,2012.0,N00026425,5453403.0,1079.0,4006.0,0,0,0.5827128820464929,3
17,2012,S2FL00359,N00034190,William G Gaylor (3),3,FLS1,    ,Y,Y,C,3L, ,2012.0,N00034190,17987.0,2.0,7.0,0,0,0.0019219662675526211,3
18,2012,S2HI00106,N00028139,Mazie K Hirono (D),D,HIS2,HI02,Y,Y,O,DW, ,2012.0,N00028139,4084272.0,2366.0,3020.0,0,1,0.9476715492632252,3
